stock1,stock2,open,loss,reward,open_num,action choose
1101,4904,1.5,2.5,0.44999999999998863,[1],0
1402,1504,2.0,4.5,0.1999999999999993,[1],1
1402,2915,4.7,7.3,-0.19999999999999574,[1],4
1402,6239,2.0,4.5,0.5,[1],1
1301,2324,2.0,4.5,0.4999999999999858,[1],1
2301,2448,4.7,7.3,0,[0],4
2301,3037,1.5,2.5,0.3500000000000014,[1],0
2317,3189,4.7,7.3,-0.20000000000001705,[1],4
2311,2801,4.7,7.3,0,[0],4
2311,2884,4.7,7.3,0,[0],4
2311,2049,4.7,7.3,-1,0,4
2311,2344,2.0,4.5,0.3999999999999986,[1],1
2311,3037,2.9,5.7,0.8500000000000014,[1],2
2311,5264,2.0,4.5,2.09999999999998,[1],1
2311,5871,2.0,4.5,1.0,[1],1
2303,2883,1.5,2.5,0.04999999999999005,[1],0
2303,1227,2.0,4.5,0.5999999999999943,[1],1
2303,3189,2.0,4.5,0.20000000000000284,[1],1
2303,3231,2.0,4.5,0.05000000000000071,[1],1
2303,9910,2.9,5.7,3.0,[1],2
2354,1504,2.0,4.5,0.5499999999999972,[1],1
2354,2448,1.5,2.5,1.75,[1],0
2454,1504,4.7,7.3,0.0,[1],4
2454,2049,4.7,7.3,-1,0,4
2454,3037,1.5,2.5,0.25,[1],0
2325,2801,4.7,7.3,0.0,[1],4
2325,2890,2.0,4.5,0.45000000000000995,[1],1
2801,2884,1.5,2.5,0.04999999999999716,[1],0
2801,2886,1.5,2.5,0.29999999999999716,[1],0
2801,2890,2.9,5.7,0.1700000000000017,[1],2
2801,2891,4.7,7.3,0,[0],4
2801,2912,4.7,7.3,0,[0],4
2801,4904,4.7,7.3,0.0,[1],4
2801,6505,4.7,7.3,0,[0],4
2801,1227,4.7,7.3,0,[0],4
2801,1504,2.9,5.7,3.552713678800501e-15,[1],2
2801,1536,4.7,7.3,0,[0],4
2801,2049,4.7,7.3,0.0,[1],4
2801,2324,4.7,7.3,0,[0],4
2801,2344,4.7,7.3,0,[0],4
2801,2352,4.7,7.3,0,[0],4
2801,2353,2.9,5.7,0.10000000000000853,[1],2
2801,2377,1.5,2.5,0.10000000000000142,[1],0
2801,2448,4.7,7.3,0,[0],4
2801,2615,4.7,7.3,0.0,[1],4
2801,2823,4.7,7.3,0,[0],4
2801,2915,4.7,7.3,0,[0],4
2801,3037,2.0,4.5,0.45000000000000284,[1],1
2801,3189,4.7,7.3,0,[0],4
2801,5871,4.7,7.3,0,[0],4
2801,9910,3.65,6.1,6.0,[1],3
2801,9933,4.7,7.3,0,[0],4
2801,9945,4.7,7.3,0,[0],4
2886,2049,4.7,7.3,-0.5,[1],4
2886,3037,1.5,2.5,0.45000000000000995,[1],0
2884,1227,1.5,2.5,0.6500000000000057,[1],0
2884,1504,2.0,4.5,0.8500000000000014,[1],1
2884,2049,4.7,7.3,-0.05000000000000426,[1],4
2884,2324,3.65,6.1,0.14999999999999858,[1],3
2884,2344,4.7,7.3,0.5000000000000036,[1],4
2884,2353,2.0,4.5,0.20000000000000284,[1],1
2884,2448,2.0,4.5,1.5999999999999943,[1],1
2884,2915,1.5,2.5,0.5,[1],0
2884,9910,1.5,2.5,4.0,[1],0
2883,2884,2.0,4.5,0.15000000000000568,[1],1
2883,2890,1.5,2.5,0.120000000000001,[1],0
2883,9904,4.7,7.3,0,[0],4
2883,1504,4.7,7.3,0.7899999999999991,[1],4
2883,2049,4.7,7.3,-1,0,4
2883,2324,1.5,2.5,0.20000000000000284,[1],0
2883,2344,2.0,4.5,0.03000000000000025,[1],1
2883,2353,1.5,2.5,0.1500000000000128,[1],0
2883,2448,1.5,2.5,0.3999999999999986,[1],0
2883,3037,2.0,4.5,0.4999999999999929,[1],1
2912,6505,4.7,7.3,0.0,[1],4
2912,2448,4.7,7.3,0,[0],4
2912,3037,2.0,4.5,1.25,[1],1
2891,2049,4.7,7.3,-0.75,[1],4
2891,2823,4.7,7.3,0.30000000000001137,[1],4
2891,3037,2.0,4.5,0.3500000000000014,[1],1
2890,2049,4.7,7.3,-0.4399999999999942,[1],4
2890,2344,4.7,7.3,0,[0],4
2890,2353,2.0,4.5,0.05000000000001137,[1],1
2890,2377,2.0,4.5,0.29999999999999716,[1],1
2890,2603,2.9,5.7,0.350000000000005,[1],2
2890,3037,2.0,4.5,0.059999999999996945,[1],1
4904,6505,2.0,4.5,1.200000000000017,[1],1
4904,2049,4.7,7.3,-1,0,4
4904,2353,1.5,2.5,0.6500000000000057,[1],0
4904,3037,2.0,4.5,0.75,[1],1
1227,2353,2.0,4.5,0.45000000000000284,[1],1
1227,3037,2.9,5.7,0.8499999999999943,[1],2
1227,3189,4.7,7.3,-0.10000000000003695,[1],4
1227,9910,3.65,6.1,6.0,[1],3
9904,2324,1.5,2.5,0.25,[1],0
9904,2448,1.5,2.5,1.6500000000000057,[1],0
9904,3037,2.0,4.5,0.6500000000000057,[1],1
1319,3037,2.0,4.5,0.8000000000000043,[1],1
1536,2344,4.7,7.3,0,[0],4
1536,3037,1.5,2.5,0.25,[1],0
1536,5264,4.7,7.3,0,[0],4
1536,5871,2.0,4.5,1.5,[1],1
1536,9910,2.0,4.5,14.0,[1],1
1504,2049,4.7,7.3,-1,0,4
1504,2324,1.5,2.5,0.5,[1],0
1504,2344,1.5,2.5,0.05000000000000071,[1],0
1504,2353,1.5,2.5,0.15000000000000036,[1],0
1504,2448,4.7,7.3,3.799999999999997,[1],4
1504,2915,2.9,5.7,1.2000000000000028,[1],2
1504,3037,2.9,5.7,0.95000000000001,[1],2
1504,3189,2.0,4.5,0.5,[1],1
2049,2324,4.7,7.3,-0.8500000000000014,[1],4
2049,2344,4.7,7.3,-0.5,[1],4
2049,2353,4.7,7.3,0,[0],4
2049,2448,4.7,7.3,-0.8999999999999986,[1],4
2049,2618,4.7,7.3,-1,0,4
2049,2823,4.7,7.3,-0.75,[1],4
2049,2915,4.7,7.3,-0.3999999999999986,[1],4
2049,3037,4.7,7.3,0.0,[1],4
2049,3189,4.7,7.3,-0.9000000000000057,[1],4
2049,3231,4.7,7.3,0,[0],4
2049,5871,4.7,7.3,-1,0,4
2049,9910,4.7,7.3,-1,0,4
2049,9921,2.0,4.5,7.5,[1],1
2049,9945,4.7,7.3,-0.09999999999999432,[1],4
2313,2448,2.0,4.5,0.25,[1],1
2313,3189,1.5,2.5,0.3499999999999872,[1],0
2347,3189,1.5,2.5,0.3500000000000085,[1],0
2324,2344,4.7,7.3,0,[0],4
2324,2448,4.7,7.3,0.0,[1],4
2324,2823,2.0,4.5,0.29999999999999716,[1],1
2324,3037,2.9,5.7,0.45000000000000284,[1],2
2324,5264,1.5,2.5,1.0999999999999943,[1],0
2324,5871,4.7,7.3,0,[0],4
2353,2376,1.5,2.5,0.3499999999999943,[1],0
2353,2915,4.7,7.3,0,[0],4
2353,3037,2.0,4.5,0.5500000000000043,[1],1
2344,2448,2.0,4.5,0.25,[1],1
2344,3037,2.9,5.7,0.4000000000000057,[1],2
2344,5871,2.0,4.5,0.30000000000000426,[1],1
2448,2606,4.7,7.3,0,[0],4
2448,2610,1.5,2.5,0.8999999999999986,[1],0
2448,2915,2.0,4.5,0.6000000000000085,[1],1
2448,3037,2.9,5.7,0.4499999999999993,[1],2
2448,3189,2.0,4.5,2.049999999999976,[1],1
2448,5871,1.5,2.5,0.8500000000000227,[1],0
2618,3034,1.5,2.5,0.5,[1],0
2823,3037,2.0,4.5,0.3000000000000007,[1],1
2823,5264,1.5,2.5,1.0,[1],0
2823,9945,2.0,4.5,0.5,[1],1
2915,3037,2.0,4.5,0.6499999999999986,[1],1
2915,9910,4.7,7.3,-1,0,4
3037,3189,2.9,5.7,0.30000000000000426,[1],2
3037,5871,2.0,4.5,0.75,[1],1
3037,9910,2.9,5.7,1.25,[1],2
3037,9945,2.0,4.5,0.5499999999999972,[1],1
